time,time
4.986000021744985e-05,4.8457999582751654e-05
4.9679999392537866e-05,4.8738000259618275e-05
4.97009996252018e-05,4.853300015383866e-05
4.9436000153946225e-05,4.838699987885775e-05
4.9219000175071415e-05,4.8584000069240574e-05
4.955399981554365e-05,4.868399992119521e-05
4.948800051352009e-05,4.874099977314472e-05
5.001399949833285e-05,4.8505999984627124e-05
4.9529000534676015e-05,4.8055000661406666e-05
4.9653000132821035e-05,4.8452999180881307e-05
4.94699997943826e-05,4.86999997519888e-05
4.9946999752137344e-05,4.8983999477059115e-05
4.977400021743961e-05,4.881799941358622e-05
4.965299922332633e-05,4.9017000492312945e-05
4.9158000365423504e-05,4.90869997520349e-05
4.984599945601076e-05,4.8860999413591344e-05
4.9636999392532744e-05,4.8702999265515245e-05
4.9729999773262534e-05,4.8387999413535e-05
4.9326000407745596e-05,4.862000059802085e-05
4.9574000513530336e-05,4.8441999751958065e-05
4.914900000585476e-05,4.873400030191988e-05
4.934899970976403e-05,5.2182000217726454e-05
4.957999954058323e-05,4.93240004288964e-05
4.947900015395135e-05,4.888100011157803e-05
4.96239999847603e-05,4.998800068278797e-05
4.9469000259705354e-05,4.957900000590598e-05
4.9823999688669574e-05,4.893000004813075e-05
4.965000061929459e-05,4.8891000005824026e-05
4.980399990017759e-05,4.864099992119009e-05
5.0845000259869266e-05,4.987900047126459e-05
4.9913999646378215e-05,4.884200006927131e-05
4.9620000027061906e-05,4.8504000005777925e-05
4.97049995829002e-05,4.872899990004953e-05
5.007799973100191e-05,4.905500009044772e-05
4.9802999456005637e-05,4.868099949817406e-05
4.967600034433417e-05,4.87810002596234e-05
4.9574000513530336e-05,4.8777000301925e-05
4.942199939250713e-05,4.878700019617099e-05
4.98649997098255e-05,4.866700055572437e-05
5.38160002179211e-05,4.859000000578817e-05
4.961400009051431e-05,4.873099987889873e-05
4.984600036550546e-05,4.8644000344211236e-05
4.9868000132846646e-05,4.830000034417026e-05
4.942700070387218e-05,4.8958000661514234e-05
4.981900019629393e-05,4.851500034419587e-05
5.002999932912644e-05,4.8537000111537054e-05
4.914500004815636e-05,4.87810002596234e-05
4.911899941362208e-05,4.907499987893971e-05
4.93930001539411e-05,4.912799977319082e-05
4.983299913874362e-05,4.909000017505605e-05
4.946199987898581e-05,4.9000999752024654e-05
4.922100015392061e-05,4.940700000588549e-05
4.941299994243309e-05,4.967899985786062e-05
4.8969000090437476e-05,4.9375000344298314e-05
4.873099987889873e-05,4.926300061924849e-05
4.918099966744194e-05,4.935500055580633e-05
4.98629997309763e-05,4.917800015391549e-05
5.0097999519493897e-05,4.9416999900131486e-05
4.977500066161156e-05,4.9711999963619746e-05
4.940799954056274e-05,4.952400013280567e-05
4.982700011169072e-05,4.9028999455913436e-05
4.959199941367842e-05,4.897500002698507e-05
4.921000072499737e-05,4.8859999878914095e-05
4.936299956170842e-05,4.921100025967462e-05
4.9792000027082395e-05,4.9042999307857826e-05
4.932299998472445e-05,4.891399930784246e-05
4.928099951939657e-05,4.8754000090411864e-05
4.96259999636095e-05,4.852499932894716e-05
4.903799981548218e-05,4.893599998467835e-05
4.9574000513530336e-05,4.8703999709687196e-05
4.930399973090971e-05,4.919300045003183e-05
4.930300019623246e-05,4.8689999857742805e-05
4.96279999424587e-05,4.852099937124876e-05
4.93950001327903e-05,4.894299945590319e-05
4.9451000450062566e-05,4.889599949819967e-05
4.951999926561257e-05,4.89290005134535e-05
4.9125999794341624e-05,4.844999966735486e-05
4.942299983667908e-05,4.871500004810514e-05
0.0018101400000887224,0.0017943879993254086
6.158799988043029e-05,6.210100036696531e-05
5.29649996678927e-05,5.330099975253688e-05
5.139599943504436e-05,5.1206000534875784e-05
5.113499992148718e-05,5.0548999752209056e-05
5.054099983681226e-05,5.003099977329839e-05
5.087299996375805e-05,4.965700009051943e-05
5.022999994253041e-05,4.942400028085103e-05
4.995400013285689e-05,5.0026000280922744e-05
5.011400025978219e-05,4.942400028085103e-05
4.989600074623013e-05,4.907400034426246e-05
5.0194999857922085e-05,4.936699951940682e-05
4.975400042894762e-05,4.973199975211173e-05
4.969600013282616e-05,5.029800013289787e-05
4.910400002700044e-05,4.951399932906497e-05
5.1250000069558155e-05,5.089800015412038e-05
4.9637000302027445e-05,4.928399994241772e-05
4.956199973094044e-05,4.958299996360438e-05
4.928099951939657e-05,4.91640003019711e-05
4.9018000026990194e-05,4.8951999815471936e-05
4.920999981550267e-05,4.923800042888615e-05
4.9141000090457965e-05,4.8984000386553816e-05
4.942899977322668e-05,5.610799962596502e-05
4.9109999963548034e-05,7.784399986121571e-05
4.984299994248431e-05,4.925400025967974e-05
4.928999987896532e-05,4.859000000578817e-05
4.8988000344252214e-05,4.882499979430577e-05
4.9248000323132146e-05,4.909800009045284e-05
4.919599996355828e-05,4.899699979432626e-05
4.9217000196222216e-05,4.873299985774793e-05
4.9295000280835666e-05,4.9189000492333435e-05
5.026100006944034e-05,5.0069999815605115e-05
4.964100025972584e-05,5.033799970988184e-05
4.9389999730919953e-05,4.996999996365048e-05
4.931700004817685e-05,5.056899954070104e-05
4.928599992126692e-05,5.039300049247686e-05
4.9236000450036954e-05,5.019099990022369e-05
4.9218000640394166e-05,4.942399937135633e-05
6.332299926725682e-05,5.038600011175731e-05
5.0734999604173936e-05,5.018299998482689e-05
4.938399979437236e-05,5.003400019631954e-05
4.96299999213079e-05,4.9633999879006296e-05
4.917800015391549e-05,4.989500030205818e-05
4.895699930784758e-05,4.94780006192741e-05
4.937900030199671e-05,4.9266000132774934e-05
6.376000055752229e-05,4.9076999857788906e-05
5.0802000259864144e-05,4.90040001750458e-05
5.089000023872359e-05,6.429600034607574e-05
6.160199973237468e-05,5.0396000006003305e-05
4.935299966746243e-05,5.053799941379111e-05
4.8735999371274374e-05,6.157299958431395e-05
4.898000042885542e-05,4.937599987897556e-05
4.989399985788623e-05,4.975200045009842e-05
4.90930005980772e-05,4.9248999857809395e-05
4.843400074605597e-05,4.9313000090478454e-05
4.911199994239723e-05,4.931500006932765e-05
4.856199939240469e-05,4.951799928676337e-05
4.827800057682907e-05,4.941500083077699e-05
4.836100015381817e-05,4.93950001327903e-05
4.8985999455908313e-05,4.9295999815512914e-05
4.879100015386939e-05,4.911999985779403e-05
4.857200019614538e-05,4.94699997943826e-05
4.856300074607134e-05,4.9510999815538526e-05
4.884200006927131e-05,4.926899964630138e-05
4.867100051342277e-05,4.9665999540593475e-05
4.8475000767211895e-05,4.9342000238539185e-05
4.8425999921164475e-05,4.945799992128741e-05
4.878700019617099e-05,4.8877000153879635e-05
4.882600023847772e-05,4.929300030198647e-05
4.942499981552828e-05,4.9158000365423504e-05
4.906799949822016e-05,4.940200051350985e-05
4.9092000153905246e-05,4.93219995405525e-05
4.899300074612256e-05,4.9306999244436156e-05
4.906000049231807e-05,4.947900015395135e-05
4.9307999688608106e-05,4.9356000090483576e-05
4.937799985782476e-05,4.9404000492359046e-05
4.961500053468626e-05,4.907600032311166e-05
4.919699949823553e-05,4.938500023854431e-05
4.9033000323106535e-05,4.9278000005870126e-05
4.9931999456021003e-05,4.9388999286748e-05
4.982799964636797e-05,4.9111000407719985e-05
5.002899979444919e-05,4.862199966737535e-05
4.975599949830212e-05,4.911199994239723e-05
5.023799985792721e-05,4.840599922317779e-05
5.008199968870031e-05,4.8984999921231065e-05
4.9746000513550825e-05,4.898200040770462e-05
5.0074000682798214e-05,4.905700006929692e-05
5.263099956209771e-05,5.1062999773421325e-05
5.046600017521996e-05,4.8830999730853364e-05
4.962700040778145e-05,4.8841999159776606e-05
4.941099996358389e-05,4.868499945587246e-05
4.9360000048181973e-05,4.917900059808744e-05
4.9233000027015805e-05,4.9005000619217753e-05
4.919900038657943e-05,4.922700009046821e-05
4.954799987899605e-05,4.911599990009563e-05
4.9713000407791696e-05,4.920900028082542e-05
4.9265000598097686e-05,4.907099992124131e-05
4.9042999307857826e-05,4.9092999688582495e-05
4.9526000111654866e-05,4.899299983662786e-05
4.930700015393086e-05,4.9309000132780056e-05
4.93970001116395e-05,4.914300006930716e-05
4.89330004711519e-05,6.745500013494166e-05
4.857100066146813e-05,6.223199943633517e-05
4.8657999286660925e-05,4.937900030199671e-05
4.906800040771486e-05,4.93219995405525e-05
4.95510003020172e-05,4.926099973090459e-05
